CD45	CD33	CD26	CD11c	IgD	HLA-DR	CD57	CD71	CD49d	CD43	CD3	LPAM-1	CD81	CD52	CD1c	CD55	CD25	CD64	CD123	gdTCR	Siglec-8	CD95	CX3CR1	CD20	CD9	pan-KIR	CD22	CD14	CD161	CD29	CD137	VAMP-7	CD127	CD24	CD27	CD141	CD45RA	CD38	CD85j	CD147	CD56	CD99	CD28	CD39	CD8a	CD5	CD7	CD4	CD16	clusters	n	percentage	subtype2	subtype3
-0.45949754652205	-0.471106328158629	-0.197206971483373	-0.543733428588232	-0.171095808098781	-0.287903496675277	-0.20420558364339	3.15800979911568	-0.219397544026711	5.3970742712925	4.84351079160407	0.921820877017454	4.50502194403195	5.73087225876537	3.54228802540808	5.53954927132953	-0.201541799839989	5.05970675226639	-0.317557805592204	3.50958216515075	1.14195477931871	3.37740724311321	2.2452079799516	1.36926858616599	3.68796137801504	3.26225920642087	0.0968661178559827	0.61677427367387	-0.301907144363498	1.59934406414266	-0.304258642513197	-0.269129290368451	-0.388788929571877	1.16050041766055	0.0791982327318079	-0.106015666419475	-0.462919959993481	-0.0950115691605856	-0.292320188577567	0.70664152314939	-0.0772390956952741	0.036093593610141	-0.347707452296966	0.0407401293240957	-0.0906866478715912	-0.279294178986563	-0.562565321801151	-0.274586853433684	-0.713846706732011	1	13778	0.60894626838098	gdT	gdT
-0.449762466505189	-0.471106328158629	-0.197206971483373	-0.543733428588232	-0.171095808098781	-0.287903496675277	-0.20420558364339	2.01437246043919	-0.231140925973615	3.0694408576021	0.729290466358364	-0.208778644130377	0.27973490619606	1.29663632934029	1.63921490934071	3.12206543720881	-0.201541799839989	1.12946317305294	-0.328766065957245	2.7289292318324	-0.317442239394495	1.53202409861728	0.908215363482595	0.173672455154531	2.63546001840501	1.84067482647046	-0.295811071450716	-0.247405876941777	-0.301907144363498	0.96309235868745	-0.358952796896817	-0.310987782137259	-0.404346459292227	0.819406918405615	-0.244761790399846	-0.40595693952263	-0.432778539638925	-0.386866691434082	-0.292320188577567	0.0716658743066526	-0.397735109709038	-0.226757497975046	-0.347707452296966	-0.41461896270455	-0.185491369038575	-0.322609034178571	-0.503329325357038	-0.321297140133135	-0.678262197884359	2	35390	1.56413183611576	gdT	gdT
1.65393357125636	-0.574238018152379	-0.216250556930908	-0.558420394673	-0.183018424377458	-0.304420182463114	-0.126385645476816	0.118909701363806	1.01501968115258	0.997926977212418	1.55890389240964	-0.349980849101435	0.656467318381111	1.80114306363488	-0.242553220105746	-0.398567623772924	8.04876757572933	-0.538464257354172	-0.328766065957245	-0.267705554380457	-0.34065879719435	-0.279630348861095	-0.493044971726972	-0.343745933499853	-0.422505309696276	-0.180664004105363	-0.374734699379487	-0.441434411318491	0.21532523706971	1.45645253182372	0.405582149116625	-0.310987782137259	-0.0973586425692807	-0.956247259726365	2.15944378530229	-0.0987650294466756	-0.0697486601645036	0.425281604596816	-0.292320188577567	-0.0449750372409203	0.320836697404417	1.98855874687644	2.30549826246454	-0.697104646525193	-0.0596619393704691	2.28289942184971	1.49994161857755	2.17924818769707	-0.832314586082678	3	45584	2.01467605587738	CD4 T	Treg
1.40971328767547	-0.548713813288278	-0.216250556930908	-0.557287694071185	-0.183018424377458	-0.304420182463114	-0.18642134926099	0.0320209329033253	0.430992901278593	0.847474323057147	0.944032955627833	-0.349980849101435	0.343042505529548	0.942406263826306	-0.242553220105746	-0.449707222058407	-0.201541799839989	-0.554197367144116	-0.328766065957245	-0.267705554380457	-0.34065879719435	-0.279630348861095	-0.386550812189195	-0.31748964281797	-0.398969040024072	-0.227649777589457	-0.374734699379487	-0.441434411318491	4.77896017139782	0.535897230143795	-0.358952796896817	-0.310987782137259	0.0186739939482515	-0.904455687796473	1.9216496768686	-0.360534307965189	1.04360504885274	0.583798012985914	-0.292320188577567	-0.191768129913941	0.0435640938442317	1.59374805312066	0.723478225120661	-0.817634587740431	1.04496223053587	1.37505383389135	1.79744508600065	-0.266415566139373	-0.795270162138142	4	38433	1.69862330764162	CD8 T	Naive CD8 T
1.42920605904845	-0.471106328158629	5.61765821814408	-0.557287694071185	-0.183018424377458	-0.304420182463114	-0.20420558364339	-0.179006073618442	-0.0246652828980143	0.236748649313544	0.350518386186279	-0.208778644130377	-0.263207249329722	0.141536318356533	-0.243469713827616	-0.449707222058407	-0.212650309619421	-0.380232044245796	-0.298400989226347	-0.267705554380457	-0.319096661169061	-0.300648541847035	-0.362335574330145	-0.31748964281797	-0.403184525341276	-0.317630501698618	-0.295811071450716	-0.413235219762978	-0.301907144363498	-0.403688959835628	-0.358952796896817	-0.310987782137259	0.0643364814415417	-0.809226245711603	1.51382340085902	-0.40595693952263	1.63315795093223	0.465929176762049	-0.292320188577567	-0.691960239123055	-0.456385742596787	0.842944247017322	-0.0329378820747054	-0.719762718620429	0.584090936619728	1.52045812347553	1.87957822660608	0.470851996176657	-0.795270162138142	5	46920	2.07372324810826	DPT	DPT
0.584253104690821	0.0615603707211468	-0.197206971483373	0.305702918559617	-0.171095808098781	-0.287903496675277	-0.20420558364339	0.534315149720856	0.736263632592144	0.568285572379941	-0.265674908140004	-0.208778644130377	-0.263207249329722	-0.289098782583691	-0.242553220105746	0.302223557829283	-0.201541799839989	-0.284662018730749	-0.328766065957245	1.5974597083005	-0.32601909678076	-0.34368486827612	-0.362335574330145	-0.31748964281797	1.14801580621994	0.542321042820865	-0.295811071450716	-0.317212937006339	-0.301907144363498	1.02550518353349	-0.358952796896817	-0.310987782137259	-0.499859591147567	0.96353076911311	0.266432561703366	-0.386480129053411	-0.182122233565543	0.405489766010405	-0.292320188577567	0.65092717826653	0.132260919682698	0.751791519648631	-0.347707452296966	-0.0909583570414425	0.765654797019547	-0.0712051201073992	-0.207823487621769	-0.21675642998305	-0.590056806237595	6	92078	4.06957138191202	gdT	gdT
1.63882185917371	-0.471106328158629	-0.197206971483373	-0.543733428588232	-0.171095808098781	4.79244544369425	-0.20420558364339	0.43270126405376	2.04234592229069	0.0834257489177374	-0.265674908140004	-0.208778644130377	-0.263207249329722	-0.289098782583691	-0.242553220105746	-0.264055824599998	-0.201541799839989	-0.284662018730749	-0.328766065957245	1.07021730819601	-0.34065879719435	-0.34368486827612	-0.362335574330145	-0.0619506195089507	0.491311061311801	0.0666731684950668	-0.295811071450716	-0.317212937006339	-0.301907144363498	0.58356701467691	-0.358952796896817	-0.310987782137259	-0.491137742319589	0.613004910419621	0.0308801016761354	-0.40595693952263	1.96754145736911	0.768743386522367	-0.292320188577567	0.197908844548488	-0.126436738188293	0.430248564722912	-0.347707452296966	-0.360359823578528	0.907652587235733	0.0493693690568639	-0.192767286299614	-0.399101067038692	-0.645418379927781	7	19975	0.882835078451885	gdT	gdT
1.30080375056798	-0.574238018152379	-0.216250556930908	-0.557287694071185	-0.183018424377458	-0.304420182463114	-0.18642134926099	-0.511795938608879	0.153983865865509	-0.256965047150396	0.316493686265048	-0.349980849101435	-0.263207249329722	0.0751193096122391	-0.242553220105746	-0.692248752890944	8.23658353958395	-0.599475781472773	-0.328766065957245	-0.267705554380457	-0.34065879719435	-0.279630348861095	-0.529592634232985	-0.343745933499853	-0.498156937647084	-0.471553314162452	-0.374734699379487	-0.441434411318491	-0.389903236115173	0.115818648039619	-0.358952796896817	-0.503897516382138	-0.499859591147567	-1.08218613912554	1.69055354389099	-0.40595693952263	0.620150980692422	0.31704015281756	-0.392674179012277	-0.740389081197484	-0.539165051706816	1.13699262447904	0.125879729609256	-0.847695597919732	-0.290841917873281	1.35860870441522	0.881521974287731	0.89081994342384	-0.830122450789363	8	57527	2.54252082894126	CD4 T	Treg
2.10664028595106	-0.574238018152379	-0.216250556930908	-0.561418340696693	-0.183018424377458	-0.304420182463114	-0.126385645476816	0.0737768847073895	0.115961047191073	1.43417937135353	3.28964105785155	-0.349980849101435	1.87876137122023	2.72008846562028	-0.242553220105746	-0.0208112404095816	-0.212650309619421	-0.655919666802697	-0.363927652775525	-0.267705554380457	-0.362899832790383	-0.279630348861095	-0.529592634232985	-0.343745933499853	-0.433043805828691	-0.220029793916029	-0.374734699379487	-0.441434411318491	-0.389903236115173	0.267111472616047	-0.474065258074029	-0.503897516382138	0.618740853705117	-1.10064645714785	2.816864672833	0.512016640987316	1.89205678664731	1.95322301996691	-0.484866808114932	-0.205893826693225	0.324636905173606	1.80610188734622	2.82439543441696	-1.13436207112417	-0.0882309991480967	3.0756718815017	3.1355811018289	4.32497223688912	-0.943653505310492	9	78877	3.48612678263076	CD4 T	Naive CD4 T
1.5681984107347	-0.574238018152379	4.64329968140317	-0.557287694071185	-0.383278663080752	-0.304420182463114	-0.18642134926099	0.164061657247679	0.159805212054122	1.15610104737841	2.27293696829343	-0.208778644130377	1.11653464960481	1.98071537846921	-0.242553220105746	-0.202396380778835	-0.212650309619421	-0.655919666802697	-0.298400989226347	-0.342069562936437	-0.319096661169061	-0.279630348861095	-0.498997403013497	-0.343745933499853	-0.367515450884192	-0.00413333278293949	-0.374734699379487	-0.441434411318491	-0.389903236115173	0.11785222922898	-0.474065258074029	-0.474658918289027	0.279514212298298	-0.855961253369461	2.24607331781083	0.27056215923106	1.72241448666793	1.61558524980232	-0.0207848473295831	-0.384893614600573	0.253494290392243	1.50732513154291	1.88847384130923	-0.962381586514832	-0.0547157255259853	2.19870290428377	2.35261875159617	2.6148863437148	-0.795270162138142	10	85373	3.77323049575333	CD4 T	Naive CD4 T
