CD45	CD33	CD26	CD11c	IgD	HLA-DR	CD57	CD71	CD49d	CD43	CD3	LPAM-1	CD81	CD52	CD1c	CD55	CD25	CD64	CD123	gdTCR	Siglec-8	CD95	CX3CR1	CD20	CD9	pan-KIR	CD22	CD14	CD161	CD29	CD137	VAMP-7	CD127	CD24	CD27	CD141	CD45RA	CD38	CD85j	CD147	CD56	CD99	CD28	CD39	CD8a	CD5	CD7	CD4	CD16	clusters	n	percentage	subtype1	frequency	cell_cluster
0.639831602573395	0.14959866553545	0.00227679219096899	0.0408037938177586	0.0146110448986292	0.00424350099638104	0.00104238127823919	1.01750957965851	0.0203179605305195	1.30257904529572	0.338208675384521	0.0100419083610177	0.301863417029381	0.354545310139656	0.0254027172923088	2.24760448932648	0.00010027400276158	0.638190478086472	-0.00331369088962674	0.101233810186386	-0.00233603967353702	0.027895288541913	0.0838510766625404	0.053430438041687	0.151457287371159	0.191538952291012	-0.00169834191910923	-0.00595171190798283	0.00670565478503704	1.77531367540359	0.0160533078014851	0.197451733052731	0.0209922362118959	3.68101859092712	0.876148194074631	0.100341238081455	0.205498665571213	0.746303975582123	0.0714472159743309	3.82734191417694	1.07106584310532	1.25581699609756	0.0401110574603081	1.53772109746933	0.544892430305481	0.0560325998812914	0.0335633456707001	0.015040772035718	2.72008180618286	122	946218	6.60651468713665	Neutrophils	6.60651468713665	Neutrophils_122
0.192999288439751	0.0184162724763155	0.00227679219096899	-0.000414378009736538	0.0146110448986292	5.34445789526217e-05	0.00104238127823919	0.344934105873108	0.0191841851919889	0.53839322924614	0.0828465521335602	0.0100419083610177	0.146603032946587	0.091178685426712	-0.0127140711992979	1.10011869668961	0.00010027400276158	0.142230316996574	-0.00331369088962674	0.0995479635894299	-0.00233603967353702	0.027895288541913	0.0213939547538757	0.0418529398739338	0.0755614265799522	0.0752226933836937	-0.00169834191910923	-0.00595171190798283	0.00670565478503704	1.09374356269836	0.0160533078014851	0.0239080730825663	0.0209922362118959	3.25791132450104	0.208031684160233	0.0119592770934105	0.14238977432251	0.271456032991409	0.0477425754070282	3.60315632820129	0.395689114928246	0.230967417359352	0.0341967232525349	0.800134479999542	0.0866065658628941	0.0224589072167873	0.0292382221668959	-0.00291163194924593	2.39329469203949	123	918644	6.41399241850183	Neutrophils	6.41399241850183	Neutrophils_123
0.626496702432632	0.0486885383725166	-0.000871363503392786	0.0041844779625535	0.0146110448986292	0.00426399568095803	0.00104238127823919	0.664587289094925	0.0203179605305195	0.712212115526199	0.107954081147909	0.0100419083610177	0.146603032946587	0.121458433568478	-0.0127140711992979	1.14866888523102	0.00268219481222332	0.29696974158287	-0.00331369088962674	0.0444712191820145	-0.00233603967353702	0.0177519507706165	0.0749296173453331	0.053430438041687	0.0755614265799522	0.26885199546814	-0.00169834191910923	-0.00595171190798283	0.00670565478503704	1.21340769529343	0.0160533078014851	0.0724100843071938	0.0623679477721453	2.95913505554199	0.449777111411095	0.0444969944655895	0.480531245470047	0.350384116172791	0.0987885519862175	2.88118386268616	0.50504270195961	0.614726066589355	0.0500138495117426	0.81200960278511	1.60286605358124	0.22882205247879	0.124775681644678	0.015040772035718	2.38094842433929	124	424140	2.96135471889368	Neutrophils	2.96135471889368	Neutrophils_124
0.961628615856171	0.168663367629051	0.00227679219096899	0.25129622220993	0.0146110448986292	0.00424350099638104	0.00104238127823919	1.11944103240967	0.1266950070858	1.07748699188232	0.212054252624512	0.028394803404808	0.26542466878891	0.259152472019196	0.0254027172923088	1.48305368423462	0.00203379616141319	0.315011352300644	0.00461556343361735	0.251138418912888	0.00319135561585426	0.027895288541913	0.149748221039772	0.0612791329622269	0.409300178289413	0.349716484546661	0.0162049643695354	0.066687285900116	0.024312861263752	1.99647045135498	0.0418757572770119	0.0724100843071938	0.28146168589592	3.64677047729492	0.695501327514648	0.0946887582540512	1.3234977722168	0.865872383117676	0.0987885519862175	3.64228677749634	0.833725154399872	1.23543679714203	0.0666984468698502	1.35609400272369	0.695608258247375	0.105812884867191	0.0856493636965752	0.015040772035718	3.98986983299255	126	611859	4.27201286591118	Neutrophils	4.27201286591118	Neutrophils_126
0.701258540153503	0.0486885383725166	-0.00493420381098986	0.106919556856155	-0.0135151855647564	-0.00684025092050433	-0.00492582330480218	0.546786606311798	0.0143725331872702	0.758892059326172	0.0828465521335602	0.00389265734702349	0.146603032946587	0.091178685426712	-0.0127140711992979	1.92577648162842	-0.00403918139636517	0.352392286062241	0.0114631615579128	0.0704729035496712	0.00804481934756041	0.027895288541913	0.0681718736886978	0.0418529398739338	0.0755614265799522	0.142074882984161	-0.00546267163008451	-0.00595171190798283	-0.0124981859698892	1.30779075622559	0.0160533078014851	0.0489872097969055	0.0209922362118959	3.76017332077026	0.511085510253906	0.0842661485075951	0.148149430751801	0.357336312532425	0.0477425754070282	3.64444851875305	0.527188897132874	0.347646236419678	0.0146837215870619	1.35737800598145	0.348235726356506	8.43704183353111e-05	-0.0101937418803573	-0.00291163194924593	3.63170433044434	127	1072173	7.48593524077048	Neutrophils	7.48593524077048	Neutrophils_127
0.215042814612389	0.0184162724763155	0.00227679219096899	0.0041844779625535	0.0146110448986292	5.34445789526217e-05	0.00375126791186631	0.343918830156326	0.0191841851919889	0.332341879606247	0.0828465521335602	0.0100419083610177	0.146603032946587	0.091178685426712	0.0254027172923088	0.582936525344849	0.00010027400276158	0.0870043784379959	-0.00331369088962674	0.101233810186386	-0.00233603967353702	0.027895288541913	0.0213939547538757	0.0418529398739338	0.0755614265799522	0.108051151037216	-0.00169834191910923	-0.00595171190798283	0.00670565478503704	0.819903790950775	0.0160533078014851	0.0239080730825663	0.0669399350881577	2.86633205413818	0.170047536492348	0.0119592770934105	0.828422427177429	0.298563450574875	0.0477425754070282	2.70154166221619	0.273409605026245	0.309753566980362	0.0341967232525349	0.505992770195007	0.00587668363004923	0.0224589072167873	0.0292382221668959	0.015040772035718	3.92697477340698	128	703351	4.9108120028495	Neutrophils	4.9108120028495	Neutrophils_128
0.35932856798172	0.0486885383725166	0.00341788539662957	0.0215969048440456	0.0162855572998524	0.00424350099638104	0.000239934204728343	0.343918830156326	0.0191841851919889	0.556918680667877	0.212054252624512	0.028394803404808	0.26542466878891	0.259152472019196	-0.0127140711992979	0.918107986450195	0.00203379616141319	0.29696974158287	0.00461556343361735	0.0498333685100079	0.00293483561836183	0.0177519507706165	0.0749296173453331	0.053430438041687	0.0128986248746514	0.142326548695564	0.0162049643695354	0.066687285900116	0.024312861263752	0.837452948093414	0.0418757572770119	0.0724100843071938	0.00248214695602655	1.03958237171173	0.208031684160233	0.0444969944655895	0.190917812287807	0.350384116172791	0.0987885519862175	2.59815645217896	0.453746527433395	0.614726066589355	0.0666984468698502	0.505992770195007	0.160659216344357	0.0146590163931251	0.0292382221668959	-0.0134181529283524	3.27445948123932	129	463434	3.23570628282118	Neutrophils	3.23570628282118	Neutrophils_129
0.671568214893341	0.0486885383725166	0.00227679219096899	0.264386862516403	0.0146110448986292	5.34445789526217e-05	0.00375126791186631	0.5777667760849	1.27685558795929	0.450272500514984	0.0828465521335602	0.0100419083610177	0.146603032946587	0.091178685426712	0.0254027172923088	0.577656507492065	0.00203379616141319	0.0970492884516716	0.0246612671762705	0.101233810186386	0.00293483561836183	0.027895288541913	0.528158903121948	0.0869805738329887	0.517221748828888	1.01095020771027	0.342255383729935	0.066687285900116	0.142236635088921	0.977843225002289	0.0160533078014851	0.123083598911762	1.45677435398102	2.68266773223877	0.208031684160233	0.08000598102808	2.496098279953	0.653953552246094	0.0987885519862175	1.74387288093567	0.453746527433395	0.66401207447052	0.0341967232525349	0.505992770195007	0.555341422557831	0.0684575736522675	0.0988348722457886	0.015040772035718	3.08989667892456	130	355935	2.48514592320795	Neutrophils	2.48514592320795	Neutrophils_130
-0.579199730221261	-0.543817781423212	0.298277896080989	-0.454840572772454	-0.0699154151306775	-0.328765263171854	0.985317429131177	-0.107604818018111	-0.862364512588918	-0.129592272834179	-0.519126208673988	-0.417959872061974	-0.729105810526543	-0.732577624540686	-0.231644790169199	0.618040566543845	-0.147067202310639	-0.322306748152258	-0.14590211751824	-0.195766193161	-0.228563441084744	-0.0863538200312731	-0.433817179964369	-0.293521477031119	-0.515294957899201	-0.765108038873501	-0.297971620606388	-0.464163841038466	-0.315053623887374	-0.913252012878772	-0.641938835895554	-0.570364880723275	-0.473965564481374	1.02923612341259	-0.488800217305437	-0.525668865818556	-0.813995954838198	-1.01922823608562	-0.662265048271652	-0.144542498805141	-0.6868125161167	-1.13508210664264	-0.495125798989314	0.607545806843382	-0.0651425680987128	-0.631078666939486	-0.590083931201044	-0.436527764940769	0.108371077956535	1	200890	2.27592391079611	Neutrophils	1.4026183559168	Neutrophils_1
-1.06399810191291	-0.328926503419769	0.298277896080989	-0.456837082826553	-0.0699154151306775	-0.307853101123219	-0.180517374528939	-0.58888130069578	-0.624694989110181	-0.532807508492886	-0.519126208673988	-0.417959872061974	-0.664709467270212	-0.732577624540686	-0.333002180594318	-0.549378855462936	-0.125384731978759	0.527500027890104	-0.113009930629323	-0.195766193161	-0.208308382841522	-0.0863538200312731	-0.123813546401878	-0.293521477031119	-0.515294957899201	-0.409785429362733	-0.297971620606388	-0.464163841038466	-0.315053623887374	-0.0275577387425689	-0.45709488311005	-0.570364880723275	-0.389996618263981	0.48626235591424	-0.62033452536127	-0.525668865818556	-0.781907644143622	0.441741572244196	-0.571326216910373	0.591677833445187	-0.470419761299773	-1.01507404584707	-0.495125798989314	-0.0602585007924708	-0.776582853565541	-0.631078666939486	-0.584021403171614	-0.478357918994421	-0.61805305223815	2	68328	0.774101891467353	LinNeg	0.477067584364991	LinNeg_2
